start_time:2016-12-08 20:14:24,device_id:00000001,cmd_cnt:32
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-08 20:14:33,1,113.33904-E,23.15780-N,50.1m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:13,19,00,00,3,41030100,err,410575,410680,41077f,410c0cbb,err,410e80,410f4d,41100170,411134,err,411f0000,41210000,41247fee6985,412e00,4130ff,4131418f,41335d,41347fee8000,413c1360,413e0da2,4142357b,41430025,41446eb2,414503,414788,414928,414a51,err,414d0000,414e7da5
2016-12-08 20:14:34,1,113.33904-E,23.15780-N,49.4m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:14,19,12,11,3,41030100,410460,410575,410680,41077c,410c1531,410d00,err,410f4c,41100178,411134,411500ff,411f0001,41210000,err,412e00,4130ff,4131418f,41335d,41347fea8000,413c1360,err,41423540,41430029,41446fa3,414503,err,414928,414a51,414c34,414d0000,err
2016-12-08 20:14:35,1,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:15,19,12,11,3,41030100,41045b,410576,410680,41077c,err,410d00,410e92,410f4c,4110015c,411134,411500ff,err,41210000,41247fe5698f,412e00,4130ff,4131418f,41335d,41347fe78000,err,413e0da2,41423540,4143002e,41447130,err,414787,414928,414a51,414c33,414d0000,414e7da5
2016-12-08 20:14:36,1,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:16,19,12,11,3,41030100,410461,410576,410680,41077c,410c0ef1,410d00,410e9c,410f4b,41100136,411133,411500ff,411f0003,41210000,err,412e00,4130ff,4131418f,41335d,41347fcf7fff,413c03d6,413e03cf,err,4143002c,414471f9,414502,414786,414928,414a51,414c33,414d0000,414e7da5
2016-12-08 20:14:37,1,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:17,19,12,11,3,err,41046f,410574,410680,41077c,410c0f0a,410d00,410e9a,410f4b,411001b0,411135,411500ff,411f0004,41210000,41247f136845,412e00,4130ff,4131418f,err,41347edc7ff8,413c03e4,413e03cf,4142352d,err,41447361,414504,414788,414928,414a51,414c35,414d0000,414e7da5
2016-12-08 20:14:38,1,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:18,19,12,11,3,41030100,41047e,err,410680,41077c,410c0e10,410d00,410e9c,410f4a,41100193,err,411500ff,411f0005,41210000,41247cbf64df,412e00,4130ff,4131418f,err,41347c327fe5,413c03f8,413e03cf,4142352d,4143003c,4144749a,414504,414788,414928,414a51,414c34,414d0000,414e7da5
2016-12-08 20:14:39,1,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:19,19,12,11,3,41030100,41047a,410574,410680,41077c,410c0dcb,410d00,410e9a,410f4a,41100178,411134,411500ff,411f0005,41210000,41247a476115,412e00,4130ff,4131418f,41335d,41347a367fd6,err,413e03cf,err,4143003c,4144753c,414503,414787,err,414a51,414c34,414d0000,414e7da5
2016-12-08 20:14:40,1,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:20,19,13,11,3,41030100,410476,410574,410680,41077c,410c0c79,410d00,410e9c,410f4a,41100146,411133,err,411f0007,41210000,412474055503,412e00,4130ff,4131418f,41335d,413473e97f98,413c042f,413e03cf,41423519,41430039,4144764a,414502,414787,414928,414a51,414c33,414d0000,414e7da5
2016-12-08 20:14:41,2,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:21,19,13,11,3,41030100,err,410574,410680,41077c,410c0bbe,err,410e9c,410f49,4110011a,411133,411500ff,411f0008,41210000,412473235355,412e00,4130ff,4131418f,41335d,413473287f92,413c044b,err,41423506,41430036,41448000,414502,414786,414928,414a51,414c32,414d0000,err
2016-12-08 20:14:42,2,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:22,19,13,11,3,41030200,410471,410574,41067d,41077c,err,410d00,410e9c,410f49,41100101,411132,411500ff,411f0009,41210000,4124758b5805,err,4130ff,4131418f,41335d,413476047fad,413c0466,413e03cf,414234f2,41430036,err,414502,414785,414928,414a51,414c32,414d0000,414e7da5
2016-12-08 20:14:43,2,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:23,19,13,11,3,41030200,410472,410574,41067d,41077c,410c0a24,410d00,410e9c,410f49,4110018c,411134,411500ff,err,41210000,412478b85e63,412e00,4130ff,err,41335d,4134799c7fd4,413c0480,413e03cf,err,4143003d,41448000,414502,414787,414928,414a51,414c33,err,414e7da5
2016-12-08 20:14:44,2,113.33904-E,23.15780-N,49.2m,1.1,0.7,0.8,0.000,0.000,2016-12-08,12:14:24,19,13,11,3,41030200,41047b,410574,41067e,41077c,410c0b44,410d00,410e8c,err,4110013d,411133,411500ff,411f000b,41210000,41247cfe6543,412e00,4130ff,4131418f,41335d,41347cef7feb,413c049b,413e03cf,4142347d,err,41448000,414503,414787,err,414a51,414c33,414d0000,414e7da5
2016-12-08 20:14:45,2,113.33904-E,23.15780-N,49.2m,1.2,0.7,0.9,0.000,0.000,2016-12-08,12:14:25,19,13,11,3,41030200,41047d,410574,41067d,41077c,410c0b66,410d00,410e89,410f49,41100133,err,411500ff,411f000c,41210000,41247bf9642b,412e00,4130ff,err,41335d,41347ca27fe9,413c04b7,413e03cf,414234df,4143003b,err,414502,414786,414928,414a51,414c33,414d0000,err
