start_time:2016-12-04 17:05:40,device_id:00000001,cmd_cnt:35
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0100,_0101,_0102,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-04 17:05:51,0,113.34053-E,23.14879-N,78.4m,0.0,0.0,0.0,0.000,0.000,2016-12-04,09:06:09,00,12,11,1,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff0698f,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,414453cd,414500,414783,err,414a51,414c29,414d0000,414e7cc3
2016-12-04 17:05:51,1,113.34046-E,23.14895-N,65.3m,1.8,1.1,1.4,0.000,0.000,2016-12-04,09:06:19,14,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,err,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff26985,err,4130ff,41314129,41335d,41347fee8000,413c05ab,413e02f9,err,41430000,414453cd,414500,414783,414928,414a51,414c29,err,414e7cc3
2016-12-04 17:05:52,1,113.34046-E,23.14895-N,65.3m,1.8,1.1,1.3,0.000,0.000,2016-12-04,09:06:20,14,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff26999,412e00,4130ff,41314129,41335d,41347ff28000,err,413e02f9,41422ec4,41430000,414453cd,414500,414783,414928,414a51,414c29,414d0000,414e7cc3
2016-12-04 17:05:53,1,113.34046-E,23.14895-N,65.3m,1.8,1.1,1.3,0.000,0.000,2016-12-04,09:06:21,14,12,11,3,4100be1fa813,410100072100,err,41030100,410400,err,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff2698f,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,414453cd,414500,414783,414928,414a51,414c29,414d0000,414e7cc3
2016-12-04 17:05:54,1,113.34046-E,23.14896-N,59.7m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:06:22,14,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,err,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff56999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,414453cd,414500,414783,err,414a51,414c29,414d0000,414e7cc3
2016-12-04 17:05:55,1,113.34046-E,23.14896-N,59.7m,1.8,1.1,1.3,0.000,0.000,2016-12-04,09:06:23,14,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100012,411130,411500ff,411f0000,err,41247ff06999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,414453cd,414500,414783,414928,414a51,414c29,err,414e7cc3
2016-12-04 17:05:56,1,113.34046-E,23.14896-N,59.7m,1.8,1.1,1.3,0.000,0.000,2016-12-04,09:06:24,14,12,11,3,4100be1fa813,410100072100,err,41030100,err,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff26999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,err,41422ec4,41430000,414453cd,414500,414783,414928,414a51,414c29,414d0000,414e7cc3
2016-12-04 17:05:57,1,113.34046-E,23.14896-N,59.7m,1.8,1.1,1.3,0.000,0.000,2016-12-04,09:06:25,14,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,err,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff26999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,err,414453cd,414500,414783,414928,414a51,414c29,414d0000,414e7cc3
2016-12-04 17:05:58,1,113.34046-E,23.14896-N,59.7m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:06:26,14,12,11,3,4100be1fa813,410100072100,err,41030100,410400,err,410680,41077f,410c0000,err,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff26999,412e00,4130ff,41314129,41335d,41347ff58000,413c05ab,413e02f9,41422ec4,err,414453cd,414500,414783,414928,414a51,414c29,err,414e7cc3
2016-12-04 17:05:59,1,113.34046-E,23.14896-N,59.7m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:06:27,14,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422ec4,41430000,414453cd,414500,414783,414928,414a51,414c29,414d0000,414e7cc3
