start_time:2016-12-04 17:24:17,device_id:00000001,cmd_cnt:32
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-04 17:24:31,0,113.34027-E,23.14918-N,-27.1m,0.0,0.0,0.0,0.000,0.000,2016-12-04,09:24:46,00,12,11,1,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,err,41210000,41247ff56999,412e00,4130ff,41314129,41335d,41347ff78000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,err,414d0000,414e7cd5
2016-12-04 17:24:31,1,113.34034-E,23.14901-N,-28.3m,2.2,1.3,1.7,0.000,0.000,2016-12-04,09:24:59,13,12,11,3,41030100,err,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,err,41210000,41247ff2698f,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,err,414c29,414d0000,err
2016-12-04 17:24:32,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:00,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,err,411500ff,411f0000,41210000,41247ff5698f,412e00,4130ff,err,41335d,41347fee8000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,err,414c29,414d0000,414e7cd5
2016-12-04 17:24:33,1,113.34034-E,23.14901-N,-28.3m,2.0,1.1,1.6,0.000,0.000,2016-12-04,09:25:01,13,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06999,412e00,4130ff,41314129,41335d,41347ff58000,413c05ab,err,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:34,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:02,14,12,11,3,41030100,err,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,err,41347ff78000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:35,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:03,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06999,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:36,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:04,14,12,11,3,41030100,410400,err,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff56999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,err,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:37,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:05,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,err,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:38,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:06,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff569a3,412e00,4130ff,41314129,err,41347ff08000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:39,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:07,14,12,11,3,41030100,410400,41054a,410680,err,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee698f,412e00,err,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:40,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:08,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff56999,412e00,err,41314129,41335d,41347fee8000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:41,1,113.34034-E,23.14901-N,-28.3m,4.0,1.8,3.6,0.000,0.000,2016-12-04,09:25:09,13,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff06999,412e00,4130ff,41314129,41335d,41347ff58000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,err,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:42,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:10,14,12,11,3,41030100,410400,41054a,410680,err,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff0698f,412e00,4130ff,41314129,41335d,41347fec8000,413c05ab,err,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:43,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:11,14,12,11,3,err,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06999,412e00,4130ff,err,41335d,41347ff58000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:44,1,113.34034-E,23.14901-N,-28.3m,2.5,1.7,1.9,0.000,0.000,2016-12-04,09:25:12,14,12,11,3,41030100,410400,err,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06999,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:45,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:13,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100012,411130,411500ff,411f0000,err,41247fee69a3,412e00,4130ff,41314129,41335d,41347ff58000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,err,414e7cd5
2016-12-04 17:24:46,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:14,14,12,11,3,41030100,410400,41054a,err,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,err,411f0000,41210000,41247ff06999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,err,414c29,414d0000,414e7cd5
2016-12-04 17:24:47,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:15,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,err,411f0000,41210000,41247fee698f,412e00,4130ff,41314129,41335d,41347fee8000,413c05ab,413e02f9,err,41430000,4144523a,414500,414783,414928,414a51,err,414d0000,414e7cd5
2016-12-04 17:24:48,1,113.34034-E,23.14901-N,-28.3m,4.0,1.8,3.6,0.000,0.000,2016-12-04,09:25:16,13,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee69a3,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:49,1,113.34034-E,23.14901-N,-28.3m,4.0,1.8,3.6,0.000,0.000,2016-12-04,09:25:17,13,12,11,3,41030100,err,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff2698f,412e00,4130ff,41314129,err,41347ff58000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:50,1,113.34034-E,23.14901-N,-28.3m,3.1,1.3,2.8,0.000,0.000,2016-12-04,09:25:18,13,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422eb1,41430000,err,414500,414783,414928,414a51,414c29,414d0000,err
2016-12-04 17:24:51,1,113.34034-E,23.14901-N,-28.3m,4.0,1.8,3.6,0.000,0.000,2016-12-04,09:25:19,13,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,err,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff26999,412e00,4130ff,err,41335d,41347fee8000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:52,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:20,14,12,11,3,41030100,410400,41054a,410680,41077f,err,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff2698f,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:53,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:21,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:54,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:22,14,12,11,3,41030100,410400,41054a,410680,41077f,err,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff5698f,412e00,4130ff,41314129,41335d,41347fee8000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,414c29,err,414e7cd5
2016-12-04 17:24:55,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:23,14,12,11,3,41030100,410400,41054a,410680,41077f,err,410d00,410e8a,410f53,41100012,411130,411500ff,411f0000,err,41247ff06999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,err,414a51,414c29,414d0000,414e7cd5
2016-12-04 17:24:56,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:24,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,err,41210000,41247ff2698f,412e00,err,41314129,41335d,41347fee8000,413c05ab,413e02f9,41422eb1,41430000,err,414500,414783,414928,414a51,414c29,414d0000,err
2016-12-04 17:24:57,1,113.34034-E,23.14901-N,-28.3m,4.0,1.7,3.6,0.000,0.000,2016-12-04,09:25:25,14,12,11,3,41030100,410400,41054a,410680,41077f,410c0000,410d00,410e8a,err,41100011,411130,411500ff,411f0000,41210000,41247ff06999,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422eb1,err,4144523a,414500,414783,414928,414a51,414c29,414d0000,414e7cd6
2016-12-04 17:24:58,1,113.34034-E,23.14901-N,-28.3m,4.0,1.8,3.6,0.000,0.000,2016-12-04,09:25:26,13,12,11,3,41030100,410400,41054a,410680,err,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,err,41210000,41247ff06999,412e00,4130ff,41314129,41335d,41347ff58000,413c05ab,413e02f9,41422eb1,41430000,4144523a,414500,414783,414928,414a51,err,414d0000,414e7cd6
