start_time:2016-12-08 18:25:26,device_id:00000001,cmd_cnt:32
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-08 18:25:35,1,113.34032-E,23.14920-N,72.8m,2.1,0.9,1.9,0.000,0.000,2016-12-08,10:25:16,16,00,00,3,41030200,410477,41056e,410685,err,410c09c7,410d00,410e94,410f48,41100113,411132,411500ff,411f0033,41210000,err,err,4130ff,4131418d,41335d,41347f897ffe,413c07ae,413e03a0,414234df,4143003c,41447ff2,414502,414786,414928,414a51,414c32,414d0000,414e7d98
2016-12-08 18:25:36,1,113.34032-E,23.14920-N,73.5m,2.1,0.9,1.9,0.000,0.000,2016-12-08,10:25:17,16,00,00,3,41030200,41047a,41056e,410684,41077c,err,410d00,410e8e,410f48,4110010f,411132,411500ff,411f0034,41210000,4124805569d5,412e00,4130ff,4131418d,41335d,413480518000,413c07ae,413e03a0,err,4143003b,41447ff2,414502,414786,414928,414a51,414c32,err,414e7d98
2016-12-08 18:25:38,1,113.34032-E,23.14920-N,74.7m,2.1,0.9,1.9,0.000,0.000,2016-12-08,10:25:18,16,13,11,3,41030200,410477,41056e,410684,41077c,410c0a5d,410d00,410e8c,410f48,4110010b,411132,err,411f0035,41210000,41247eb96787,err,4130ff,4131418d,41335d,41347ea17ff5,413c07c0,413e03a1,err,4143003a,41447ff2,414502,414785,err,414a51,err,414d0000,414e7d98
2016-12-08 18:25:39,1,113.34032-E,23.14920-N,75.2m,2.1,0.9,1.9,0.000,0.000,2016-12-08,10:25:19,16,13,11,3,41030200,410476,41056f,410684,41077c,410c0a3a,410d00,410e91,410f48,err,411132,411500ff,411f0036,41210000,err,412e00,4130ff,4131418d,41335d,413480308000,413c07d3,413e03a2,err,4143003a,41447ff2,414501,414785,414928,414a51,414c32,414d0000,414e7d98
2016-12-08 18:25:39,1,113.35000-E,23.14920-N,75.2m,2.4,1.0,2.2,0.000,0.000,2000-00-00,10:25:20,16,13,11,3,41030200,410475,41056f,err,41077c,410c0a12,410d00,410e92,err,41100108,411132,411500ff,411f0037,41210000,412480e36a9d,412e00,4130ff,4131418d,41335d,413480fc8004,413c07e5,413e03a4,414234cb,41430039,41447ff2,414501,414785,414928,414a51,414c32,414d0000,414e7d98
2016-12-08 18:25:41,1,113.34032-E,23.14920-N,75.2m,2.4,1.0,2.2,0.000,0.000,2016-12-08,10:25:21,16,13,11,3,41030200,410476,41056f,410685,41077c,410c0a41,410d00,410e8f,410f48,41100108,411132,411500ff,411f0038,41210000,412480ba6a61,412e00,4130ff,4131418d,41335d,413480c98004,413c07f7,413e03a5,414234cb,41430039,41447ff2,414501,414785,err,414a51,414c32,414d0000,414e7d98
2016-12-08 18:25:41,1,113.34032-E,23.14920-N,72.3m,2.1,1.0,1.9,0.000,0.000,2016-12-08,10:25:22,16,13,11,3,err,410476,41056f,410685,41077c,410c0a37,err,410e8e,410f48,41100104,411132,411500ff,411f0039,41210000,err,412e00,4130ff,4131418d,41335d,err,413c0809,413e03a6,414234f2,41430038,41447ff2,414501,414785,414928,414a51,414c32,414d0000,414e7d98
2016-12-08 18:25:42,1,113.34032-E,23.14920-N,72.3m,2.3,1.0,2.1,0.000,0.000,2016-12-08,10:25:23,15,13,11,3,41030200,410475,41056f,410685,41077c,410c0a56,err,410e8f,410f48,41100109,411132,411500ff,411f003a,41210000,41247fcb6921,412e00,4130ff,4131418d,41335d,41347fd17fff,413c081b,413e03a7,41423519,41430039,err,414501,414785,414928,err,414c32,414d0000,414e7d99
2016-12-08 18:25:44,1,113.34032-E,23.14920-N,72.3m,2.3,1.0,2.1,0.000,0.000,2016-12-08,10:25:24,15,13,11,3,err,410475,41056f,err,41077c,410c0a5a,410d00,410e90,410f48,41100109,411132,411500ff,411f003b,41210000,41247fac68d1,412e00,4130ff,4131418d,41335d,41347faa7ffe,413c082c,413e03a8,414234cb,err,41447ff2,414502,414785,414928,err,414c32,414d0000,414e7d99
2016-12-08 18:25:44,1,113.34032-E,23.14920-N,69.3m,2.1,0.9,1.9,0.000,0.000,2016-12-08,10:25:25,16,13,11,3,41030200,410475,41056f,410685,41077c,err,410d00,410e8f,410f48,41100106,411132,411500ff,411f003c,err,41247fcb6917,412e00,4130ff,4131418d,err,41347f8b7ffc,413c083d,413e03a9,414234f2,err,41447ff2,err,414785,414928,414a51,414c32,414d0000,414e7d99
