start_time:2016-12-08 20:00:26,device_id:00000001,cmd_cnt:32
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-08 20:00:36,1,113.34517-E,23.15060-N,29.8m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:15,04,00,00,0,41030200,410478,41055a,41067c,err,410c0cbb,410d05,410e99,410f4b,41100156,411134,err,411f000f,41210000,41247fdc693f,412e00,err,4131418e,41335d,41347fea7fff,413c04dc,err,41423554,4143003e,41447ff2,414503,414787,414928,414a51,err,414d0000,414e7d9f
2016-12-08 20:00:37,1,113.34519-E,23.15061-N,25.7m,0.0,0.0,0.0,5.400,0.000,2016-12-08,12:00:17,04,13,11,0,41030200,410479,41055b,41067d,41077e,410c0c25,410d05,410ea0,410f4b,41100159,411134,err,411f0010,41210000,4124801e69b7,412e00,4130ff,4131418e,err,413480088000,413c04fe,413e034a,41423554,err,41447ff2,414503,414787,414928,err,414c34,414d0000,414e7d9f
2016-12-08 20:00:38,1,113.34520-E,23.15059-N,27.9m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:18,04,13,11,0,41030200,41047b,41055b,41067d,41077e,410c0c25,410d03,410e9c,410f4b,41100159,411134,411500ff,411f0011,41210000,41247f9268c7,412e00,4130ff,4131418e,41335d,41347f8e7ffc,413c04fe,413e034a,41423554,41430040,41447ff2,414503,414787,414928,414a51,414c34,414d0000,err
2016-12-08 20:00:39,1,113.34521-E,23.15059-N,27.3m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:19,04,13,11,0,41030200,err,41055b,41067d,41077e,410c0c15,410d03,410e99,410f4b,41100153,411134,411500ff,411f0012,41210000,4124802b6999,412e00,4130ff,4131418e,41335d,err,413c0541,413e034a,41423540,4143003f,41447ff2,414503,err,414928,414a51,414c34,err,414e7d9f
2016-12-08 20:00:40,1,113.34522-E,23.15058-N,33.6m,0.0,0.0,0.0,2.000,0.000,2016-12-08,12:00:20,05,13,11,0,41030200,41047b,41055b,41067d,41077e,410c0c2b,410d03,410e96,410f4b,4110015c,411134,err,411f0013,41210000,412480ce6a7f,412e00,err,4131418e,err,4134810f8005,413c0562,413e034b,4142352d,4143003f,41447ff2,414503,414787,414928,414a51,414c34,414d0000,err
2016-12-08 20:00:41,1,113.34522-E,23.15058-N,35.6m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:21,05,13,11,0,41030200,41047b,41055b,err,41077e,410c0c2b,410d00,err,410f4b,4110015f,411134,err,411f0014,41210000,412481486b1f,412e00,4130ff,4131418e,41335d,err,413c0582,413e034b,4142352d,4143003f,err,414503,414787,414928,414a51,err,414d0000,414e7d9f
2016-12-08 20:00:42,1,113.34522-E,23.15058-N,35.2m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:22,05,13,11,0,41030200,41047c,41055b,410680,41077e,410c0c28,410d00,410e95,410f4b,41100154,411134,411500ff,411f0015,41210000,412481676ad9,412e00,4130ff,4131418e,41335d,4134814d8007,err,413e034c,4142352d,41430040,41447ff2,414503,414787,414928,414a51,414c34,err,414e7d9f
2016-12-08 20:00:43,1,113.34522-E,23.15058-N,35.1m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:23,05,13,11,0,41030200,41047a,41055b,410681,41077e,410c0c38,410d00,410e95,410f4b,4110015c,err,411500ff,411f0016,41210000,err,412e00,4130ff,4131418e,err,41347ff07fff,413c05c2,413e034d,41423540,41430040,41447ff2,err,414787,414928,414a51,err,414d0000,414e7d9f
2016-12-08 20:00:44,1,113.34522-E,23.15058-N,35.9m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:24,05,13,11,0,err,41047f,41055b,410680,41077e,410c0b09,410d00,410ea1,410f4b,41100165,411134,411500ff,411f0017,41210000,41247f456863,412e00,4130ff,4131418e,41335d,41347f437ffa,413c05e1,413e034e,41423331,41430048,41447ff2,414503,414787,414928,414a51,414c34,414d0000,414e7d9f
2016-12-08 20:00:45,1,113.34522-E,23.15058-N,37.2m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:25,06,13,11,0,41030200,410484,41055b,410680,41077e,err,410d00,410e8e,410f4b,41100168,411134,411500ff,411f0018,41210000,412480a86a39,err,4130ff,4131418e,41335d,err,413c0600,413e034e,414234cb,41430047,err,414503,414787,414928,414a51,414c34,414d0000,414e7d9f
2016-12-08 20:00:46,1,113.34522-E,23.15058-N,37.6m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:26,06,13,11,0,41030200,410484,41055c,410680,41077e,410c0b63,410d00,410e9b,410f4b,4110016d,411134,err,411f0019,41210000,41247fec695d,err,4130ff,4131418e,41335d,4134803b8001,413c061f,413e034f,41423506,41430042,41447ff2,err,414787,414928,414a51,414c34,414d0000,414e7d9f
2016-12-08 20:00:47,1,113.34522-E,23.15058-N,37.6m,0.0,0.0,0.0,0.000,0.000,2012-00-00,12:00:27,06,13,11,0,41030200,err,41055c,410681,41077e,err,410d00,410e94,410f4b,41100167,411134,411500ff,err,41210000,4124805c69f3,412e00,4130ff,err,41335d,413480718001,413c063f,413e0350,4142352d,41430043,41447ff2,414503,414787,414928,414a51,414c34,414d0000,414e7d9f
2016-12-08 20:00:48,1,113.34500-0,23.15058-N,36.8m,0.0,0.0,0.0,1.600,0.000,2000-00-00,12:00:28,06,13,11,0,41030200,410481,err,410681,41077e,410c0c1c,err,410e8f,410f4a,41100165,411134,411500ff,411f001b,41210000,err,412e00,4130ff,4131418e,41335d,err,413c065e,413e0352,4142352d,41430042,err,414503,414787,414928,414a51,414c34,414d0000,414e7d9f
2016-12-08 20:00:49,1,113.34522-E,23.15059-N,37.0m,0.0,0.0,0.0,1.700,0.000,2016-12-08,12:00:29,06,13,11,0,41030200,410481,41055c,410682,41077e,410c0bf0,410d00,410e90,410f4a,4110016a,411134,411500ff,err,41210000,4124804c69df,412e00,4130ff,err,41335d,413480308000,413c067e,413e0353,err,41430042,41447ff2,414503,414787,414928,414a51,414c34,414d0000,414e7d9f
2016-12-08 20:00:50,1,113.34522-E,23.15059-N,37.7m,0.0,0.0,0.0,3.430,0.000,2001-00-00,12:00:30,06,13,11,0,41030200,410480,41055d,err,41077e,410c0c0f,410d00,410e91,410f4a,41100159,411134,411500ff,err,41210000,41247f6d68a9,412e00,4130ff,err,41335d,41347fdc7fff,413c069c,413e0354,err,4143003e,41447ff2,414503,414787,414928,414a51,414c33,err,414e7d9f
2016-12-08 20:00:51,1,113.34522-E,23.15059-N,37.7m,0.0,0.0,0.0,1.800,0.000,2016-12-08,12:00:31,06,13,11,0,41030200,41047d,41055d,410682,41077e,410c0be6,410d00,410e93,410f4a,41100151,411133,411500ff,411f001e,err,41247f3a6831,412e00,4130ff,4131418e,err,41347f037ff8,413c069c,413e0354,4142352d,err,41447ff2,414503,414787,414928,414a51,414c33,414d0000,414e7d9f
2016-12-08 20:00:52,1,113.34522-E,23.15059-N,37.8m,0.0,0.0,0.0,1.700,0.000,2016-12-08,12:00:32,07,13,11,0,41030200,err,41055d,410682,41077e,410c0bc1,410d00,410e94,err,41100154,411133,411500ff,411f001f,41210000,4124812a6aed,err,4130ff,4131418e,41335d,4134815e8008,err,413e0356,4142352d,4143003f,41447ff2,err,414787,414928,414a51,414c33,err,414e7d9f
2016-12-08 20:00:54,1,113.34522-E,23.15059-N,37.8m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:33,07,13,11,0,41030200,41047c,41055d,410683,41077e,410c0be0,410d00,410e92,410f4a,41100151,411133,411500ff,411f0020,41210000,412481866b65,412e00,4130ff,4131418e,41335d,413481888008,413c06d9,err,41423554,4143003e,41447ff2,414503,414787,414928,err,414c33,414d0000,414e7d9f
2016-12-08 20:00:54,1,113.34522-E,23.15059-N,37.8m,0.0,0.0,0.0,0.000,0.000,2016-12-08,12:00:34,07,13,11,0,41030200,41047b,41055d,410684,err,410c0bae,410d00,410e92,410f4a,4110014f,411133,411500ff,411f0021,err,41247f296827,412e00,4130ff,4131418e,err,41347f6a7ffc,413c06f6,413e0359,41423519,err,41447ff2,414503,414787,414928,err,414c33,414d0000,414e7d9f
