start_time:2016-12-07 11:46:38,device_id:00000001,cmd_cnt:32
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-07 11:46:49,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:53,00,00,00,1,41030200,41048e,410544,410682,41077e,410c0ded,err,410e9a,410f41,411001ec,err,411500ff,411f000e,41210000,4124853f6f4d,412e00,4130ff,err,41335d,413484ac8019,413c04cd,413e029a,err,4143004e,41448000,414505,414789,414928,414a51,414c35,414d0000,414e7d5a
2016-12-07 11:46:50,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:54,00,03,06,1,41030200,41048d,err,err,41077f,410c0dda,410d00,410e9a,410f41,err,411135,411500ff,411f000f,41210000,412484036e49,412e00,4130ff,err,41335d,4134841e8016,413c0502,413e029a,err,4143004d,41447ff2,414505,414789,414928,414a51,414c35,414d0000,414e7d5a
2016-12-07 11:46:51,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:55,00,03,06,1,41030200,41048c,410544,410684,41077f,410c0dda,410d00,err,410f41,411001df,411135,411500ff,411f0010,41210000,4124841e6e3f,err,4130ff,41314180,41335d,413483ac8014,413c0502,413e029a,414235f0,4143004e,41447ff2,414505,414789,414928,414a51,414c35,err,414e7d5a
2016-12-07 11:46:52,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:56,00,03,06,1,41030200,41048a,410545,410687,41077f,410c0e2c,410d00,410e97,410f41,411001d3,411135,411500ff,411f0010,41210000,4124820b6c05,412e00,err,41314180,41335d,4134811a8005,413c0536,413e029b,41423617,41430047,err,414504,414789,414928,414a51,err,414d0000,414e7d5a
2016-12-07 11:46:53,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:57,00,04,06,1,41030200,410486,410545,410684,41077f,410c0dda,410d00,410e9e,err,411001ba,411135,411500ff,err,41210000,41247cd2652f,412e00,4130ff,err,41335d,41347d267fec,413c0569,413e029d,err,41430047,41447ff2,414504,414789,err,414a51,414c35,414d0000,414e7d5a
2016-12-07 11:46:54,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2006-06-28,11:59:58,00,04,06,1,41030200,410485,410545,410682,err,410c0daf,410d00,410e9a,410f41,411001b7,411135,411500ff,err,41210000,41247e87675f,412e00,4130ff,41314180,41335d,41347e7e7ff7,err,413e029e,4142362b,41430047,41447ff2,err,414789,414928,414a51,414c35,414d0000,414e7d5a
2016-12-07 11:46:55,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-07,03:46:50,00,04,06,1,41030200,410482,410546,err,41077f,410c0e22,410d00,410e90,410f41,411001e1,411135,411500ff,411f0013,41210000,41247f156813,412e00,4130ff,41314180,41335d,41347ef67ff9,413c05cb,413e029f,414235f0,4143004a,41447ff2,414504,414789,414928,414a51,414c35,414d0000,414e7d5a
2016-12-07 11:46:56,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-07,03:46:51,00,04,06,1,41030200,41048c,410546,41067f,41077f,err,410d00,410ea4,410f41,411001d9,411135,411500ff,err,41210000,41247edc6809,412e00,4130ff,41314180,41335d,err,413c05fb,413e02a1,err,41430050,41447ff2,414504,414789,414928,414a51,414c35,414d0000,414e7d5a
2016-12-07 11:46:57,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-07,03:46:52,00,04,06,1,err,41048f,410546,410681,41077f,410c0d7a,410d00,410e97,410f41,411001e2,err,411500ff,411f0016,41210000,412481586b15,err,4130ff,41314180,41335d,413481468007,413c062a,413e02a3,414235c9,41430050,41447ff2,414504,414789,414928,414a51,414c35,414d0000,414e7d5a
2016-12-07 11:46:58,0,0.00000-E,0.00000-N,0.0m,0.0,0.0,0.0,0.000,0.000,2016-12-07,03:46:53,00,04,06,1,41030200,err,410546,410682,41077f,err,410d00,410e97,410f41,411001e5,411135,411500ff,err,41210000,412480a46a1b,412e00,4130ff,err,41335d,4134801a8000,413c0659,413e02a4,414235c9,41430051,41447ff2,err,414789,414928,414a51,414c35,err,414e7d5a
