_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-10 08:03:53,1,113.50207,22.97058,14.6,1.1,0.6,0.9,4.400,0.000,2016-12-10,00:03:16,22,11,12,3,41030200,39.6078431373,94,0.78125,-3.90625,732.0,4,7.5,26,2.37,19.2156862745,411579ff,4362,0,0.994781494141-3.27185058594,17,255,16840,93,0.996032714844--0.01171875,499.0,435.7,13.457,18.431372549,0,0.0,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32299
2016-12-10 08:03:54,1,113.50207,22.97059,13.1,1.1,0.6,0.9,4.600,0.000,2016-12-10,00:03:17,20,11,12,3,41030200,39.6078431373,94,1.5625,-3.90625,721.0,6,7.5,26,2.34,19.2156862745,411579ff,4363,0,0.99951171875-3.29504394531,17,255,16840,93,0.998901367188-0.0,498.3,435.2,13.457,18.431372549,0,0.0,51.7647058824,15.6862745098,31.7647058824,19.2156862745,0,32299
2016-12-10 08:03:55,1,113.50208,22.97060,12.7,1.1,0.6,0.9,5.100,0.000,2016-12-10,00:03:18,20,11,12,3,41030200,39.2156862745,94,1.5625,-3.90625,728.75,5,6.5,26,2.07,18.8235294118,411579ff,4364,0,0.997833251953-3.28649902344,16,255,16840,93,0.997436523438--0.00390625,498.3,435.2,13.437,15.6862745098,0,0.0,51.3725490196,15.6862745098,31.7647058824,18.8235294118,0,32299
2016-12-10 08:03:56,1,113.50208,22.97061,12.0,1.2,0.6,1.0,5.200,0.000,2016-12-10,00:03:19,21,11,12,3,41030200,37.6470588235,94,0.78125,-3.90625,728.75,4,13.5,26,2.04,18.8235294118,411579ff,4366,0,0.987152099609-3.22912597656,15,255,16840,93,0.987213134766--0.0390625,497.0,434.3,13.398,17.2549019608,0,0.0,51.3725490196,15.6862745098,31.7647058824,18.8235294118,0,32299
2016-12-10 08:03:57,1,113.50209,22.97062,11.6,1.3,0.7,1.1,4.700,0.000,2016-12-10,00:03:20,19,11,12,3,41030200,38.431372549,94,0.0,-3.90625,632.0,4,14.0,26,2.04,18.8235294118,411579ff,4366,0,0.990814208984-3.24987792969,15,255,16840,93,0.994567871094--0.015625,497.0,433.8,13.398,18.431372549,0,0.0,51.3725490196,15.6862745098,31.7647058824,18.8235294118,0,32299
2016-12-10 08:03:58,1,113.50210,22.97063,10.2,1.3,0.7,1.1,2.800,0.000,2016-12-10,00:03:21,19,11,12,3,41030200,39.6078431373,94,0.78125,-3.90625,641.25,3,10.5,26,2.07,18.8235294118,411579ff,4367,0,1.01000976562-3.35363769531,16,255,16840,93,1.01016235352-0.03125,496.3,433.8,13.398,17.6470588235,0,0.0,51.3725490196,15.6862745098,31.7647058824,18.8235294118,0,32299
2016-12-10 08:03:59,1,113.50210,22.97064,9.3,1.3,0.7,1.1,0.000,0.000,2016-12-10,00:03:22,19,11,12,3,41030200,36.4705882353,95,2.34375,-3.90625,761.5,3,2.0,26,1.81,18.431372549,41157dff,4368,0,1.00915527344-3.34753417969,16,255,16840,93,1.00900268555-0.02734375,495.7,433.3,13.437,13.3333333333,0,0.0,50.9803921569,15.6862745098,31.7647058824,18.431372549,0,32300
2016-12-10 08:04:00,1,113.50210,22.97064,8.5,1.3,0.7,1.1,0.000,0.000,2016-12-10,00:03:23,19,11,12,3,41030200,34.5098039216,94,2.34375,-3.90625,728.75,3,5.0,26,1.82,18.431372549,41157dff,4369,0,0.992706298828-3.25720214844,15,255,16840,93,0.992218017578--0.0234375,495.0,433.3,13.437,14.1176470588,0,0.0,50.9803921569,15.6862745098,31.7647058824,18.431372549,0,32300
2016-12-10 08:04:01,1,113.50210,22.97064,7.7,1.3,0.7,1.1,0.000,0.000,2016-12-10,00:03:24,19,11,12,3,41030200,34.1176470588,95,2.34375,-3.90625,715.5,0,8.0,26,1.81,18.431372549,41157dff,4370,0,0.999053955078-3.29626464844,14,255,16840,93,1.00039672852-0.0,494.4,432.4,13.437,14.1176470588,0,0.0,50.9803921569,15.6862745098,31.7647058824,18.431372549,0,32300
2016-12-10 08:04:02,1,113.50210,22.97064,7.1,1.3,0.7,1.1,0.000,0.000,2016-12-10,00:03:25,19,11,12,3,41030200,33.7254901961,95,2.34375,-3.90625,708.5,0,9.0,26,1.75,18.431372549,41157dff,4371,0,0.991943359375-3.25598144531,14,255,16840,93,1.00039672852-0.0,493.2,431.5,13.417,13.7254901961,0,0.0,50.9803921569,15.6862745098,31.7647058824,18.431372549,0,32300
